idx,engine,grad_step,flow_sigma,regularizer,inverse_steps,dice_fwd,dice_inv,dice_sym,fold_fwd,fold_inv,inv_err,bnd_fwd,bnd_inv,jac_min_fwd,jac_min_inv
14,syntx,0.1,4.0,dsti,5,0.5924509750402208,0.5326780509350117,0.5625645129876162,0.019483856344207552,0.020182480675274752,0.027082813099118044,0.005843397695571184,0.003566351253539324,0.0,0.0
15,syntx,0.1,4.0,dsti,20,0.5924406133965545,0.5326786186779233,0.5625596160372389,0.019483856344207552,0.02010485574960062,0.02712880439992326,0.005843426566570997,0.003566368483006954,0.0,0.0
16,syntx,0.15,3.0,gaussian,5,0.5939905479632808,0.5374447463032624,0.5657176471332717,0.1055698989168218,0.09252891140356732,0.030869020801380306,0.01242590881884098,0.00789664126932621,0.0,0.0
17,syntx,0.15,3.0,gaussian,20,0.593975466939075,0.5374320897596002,0.5657037783493376,0.10673427280193379,0.10106765322772204,0.03108073116372693,0.012425929307937622,0.007896650582551956,0.0,0.0
18,syntx,0.15,3.0,dsti,5,0.5933030083302436,0.532999419507052,0.5631512139186479,0.030351345938586263,0.02941984683049666,0.029963274060582763,0.004360446706414223,0.0024744560942053795,0.0,0.0
19,syntx,0.15,3.0,dsti,20,0.5933007024126725,0.5329700280231662,0.5631353652179194,0.030273721012912133,0.029807971458867325,0.029975588933090432,0.004363690502941608,0.0024761848617345095,0.0,0.0
20,syntx,0.15,4.0,gaussian,5,0.5869928445402692,0.5336237974247139,0.5603083209824915,0.12031863479490719,0.08104042240379555,0.02894594157400301,0.026854339987039566,0.014858413487672806,0.0,0.0
21,syntx,0.15,4.0,gaussian,20,0.586989586326287,0.5336244258632238,0.5603070060947554,0.11930951076114345,0.08267054584295236,0.028967812380176323,0.026854125782847404,0.014858382754027843,0.0,0.0
22,syntx,0.15,4.0,dsti,5,0.5966921694755049,0.5371150266529021,0.5669035980642034,0.03578509073577562,0.026159599952183046,0.02949130679639565,0.006551853846758604,0.003839581273496151,0.0,0.0
23,syntx,0.15,4.0,dsti,20,0.5966900708591981,0.5371325336773451,0.5669113022682717,0.03632846521549456,0.02584910024948651,0.029445273557323563,0.006551902741193771,0.003839617595076561,0.0,0.0
24,syntx,0.2,3.0,gaussian,5,0.5924559408117924,0.5417501924756987,0.5671030666437455,0.07739205089711126,0.040364961350549504,0.02911857146280669,0.011510830372571945,0.008008738979697227,0.0,0.0
25,syntx,0.2,3.0,gaussian,20,0.5945733680414282,0.5381223772014946,0.5663478726214615,0.1143415155179989,0.12062913449760373,0.03329485297641865,0.013411338441073895,0.008440349251031876,0.0,0.0
26,syntx,0.2,3.0,dsti,5,0.5946029378847967,0.5339268764791719,0.5642649071819843,0.04083071090459431,0.03795858865465136,0.03197454946319012,0.004790149629116058,0.0026397565379738808,0.0,0.0
27,syntx,0.2,3.0,dsti,20,0.5946319569094977,0.5339204430106729,0.5642761999600853,0.04106358568161671,0.038657212985718566,0.031980795269363434,0.004789288621395826,0.002639875980094075,0.0,0.0
28,syntx,0.2,4.0,gaussian,5,0.5881164601131708,0.5351051882489901,0.5616108241810804,0.1095287701262026,0.09835078082912735,0.030519806844325092,0.027344143018126488,0.015086844563484192,0.0,0.0
29,syntx,0.2,4.0,gaussian,20,0.5881036710366123,0.5350759414888338,0.561589806262723,0.10665664787625966,0.09664303246429642,0.03051397442963951,0.0273441132158041,0.015086802653968334,0.0,0.0
